stack	cell	time	area	perimeter	circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	junction_not_tracable	replicate
7	1	200	112.103	41.336	0.824	15.557	624	992	25.137	10.615	1.398	0.715	1		2
7	2	0	87.188	38.886	0.725	16.948	1517	1109	76.319	7.231	2.187	0.457	0.999		2
7	2	10	92.903	40.327	0.718	17.132	1516	1109	75.349	7.646	2.139	0.467	1		2
7	2	50	97.774	40.805	0.738	17.191	1524	1110	77.628	8.211	1.94	0.515	1		2
7	2	100	102.761	41.414	0.753	17.464	1524	1116	78.551	8.374	1.923	0.52	1		2
7	2	200	114.791	42.907	0.784	17.711	1522	1117	75.114	9.26	1.828	0.547	1		2
7	3	0	95.039	42.156	0.672	15.366	1115.333	1127.333	145.339	11.069	1.224	0.817	0.899		2
7	3	10	102.55	42.958	0.698	15.644	1113.667	1125.667	146.2	11.303	1.206	0.829	0.93		2
7	3	50	107.773	44.013	0.699	16.006	1110	1122.333	145.665	11.963	1.193	0.838	0.917		2
7	3	100	110.695	44.87	0.691	16.339	1109.667	1121	145.081	12.289	1.248	0.801	0.914		2
7	3	200	118.546	46.403	0.692	16.256	1109	1124.333	146.875	12.651	1.161	0.861	0.909		2
4	1	0	160.515	47.68	0.887	18.188	1250	949	10.641	11.7	1.473	0.679	1		3
4	1	10	169.012	48.242	0.913	18.066	1251	944	16.37	12.266	1.399	0.715	1		3
4	1	50	173.507	49.285	0.898	18.74	1249	947	10.66	12.157	1.466	0.682	0.998		3
4	1	100	180.677	50.046	0.907	18.899	1250	951	15.63	12.787	1.394	0.717	1		3
4	1	200	190.712	51.699	0.897	19.479	1249	945	5.425	12.543	1.473	0.679	1		3
4	2	0	120.424	42.907	0.822	15.458	1186.5	1280.5	167.863	11.265	1.138	0.879	0.96		3
4	2	10	134.801	44.539	0.854	16.009	1180	1282.5	168.88	11.862	1.12	0.893	0.978		3
4	2	50	143.932	45.287	0.882	16.038	1179	1283	170.474	12.683	1.094	0.914	0.986		3
4	2	100	148.884	45.869	0.889	16.378	1179.5	1283	171.441	12.829	1.089	0.918	0.99		3
4	2	200	149.143	46.585	0.864	16.317	1184	1273.5	166.563	12.572	1.109	0.901	0.98		3
5	1	0	85.908	35.085	0.877	13.242	981.5	966.5	109.102	8.834	1.424	0.702	1.003		3
5	1	10	99.792	38.083	0.865	14.544	979	959	107.558	9.412	1.451	0.689	0.991		3
5	1	50	108.277	38.876	0.9	14.528	980.5	959	107.354	10.155	1.342	0.745	0.998		3
