stack	cell	time	area	perimeter	circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	junction_not_tracable	replicate
6	1	50	143.087	46.18	0.843	16.454	780	659	51.281	12.314	1.228	0.814	0.979	no	2
6	1	100	152.358	47.863	0.836	16.115	780.5	655.5	51.551	13.433	1.116	0.896	0.967	no	2
6	1	200	153.86	47.464	0.858	16.301	767.5	645	34.165	13.147	1.187	0.843	0.981	no	2
6	2	0	153.25	48.435	0.821	17.42	1239	485.333	104.036	12.939	1.338	0.748	0.981	yes	2
6	2	10	163.883	50.006	0.824	18.069	1264.667	478	94.241	13.904	1.287	0.777	0.994	yes	2
6	2	50	184.48	52.915	0.828	18.971	1235.667	479.333	104.327	14.731	1.294	0.773	0.986	yes	2
6	2	100	197.085	54.186	0.843	19.093	1235.333	479.667	104.457	14.798	1.317	0.76	0.982	yes	2
6	2	200	203.269	54.444	0.862	19.777	1261.667	469.333	95.659	14.387	1.338	0.748	0.993	yes	2
6	4	0	123.992	44.919	0.772	16.47	751	1233	88.869	11.198	1.492	0.67	0.95		2
6	4	10	141.549	44.855	0.884	16.216	748	1231	77.264	11.579	1.316	0.76	0.999		2
6	4	50	156.266	47.395	0.874	17.351	748	1241	74.055	12.303	1.337	0.748	1		2
6	4	100	157.557	47.476	0.878	17.339	747	1237	88.568	12.819	1.323	0.756	0.982		2
6	4	200	164.165	47.943	0.898	17.2	750	1234	67.797	12.805	1.293	0.773	0.991		2
6	5	0	218.691	57.566	0.829	20.397	1351	1317	26.837	15.228	1.193	0.838	0.975		2
6	5	10	246.306	60.365	0.849	21.9	1346	1322	25.805	16.6	1.19	0.841	0.985		2
6	5	50	267.055	61.761	0.88	21.905	1342	1322	25.171	16.702	1.197	0.836	0.986		2
6	5	100	270.905	62.498	0.872	22.635	1343	1321	28.282	16.558	1.153	0.867	0.999		2
6	5	200	282.582	63.058	0.893	22.635	1343	1321	28.282	17.349	1.139	0.878	0.997		2
7	3	0	128.217	41.502	0.935	14.364	1103.667	1126	75.44	11.464	1.189	0.841	0.991		2
7	3	10	151.501	45.037	0.939	15.181	1091.333	1128.333	53.512	12.412	1.146	0.873	0.997		2
7	3	50	148.732	44.738	0.934	15.471	1123.333	1135.667	85.314	12.694	1.192	0.839	0.996		2
7	3	100	157.921	46.181	0.931	15.918	1119.333	1138.333	81.521	13.137	1.156	0.865	0.989		2
7	3	200	170.49	48.146	0.924	16.262	1112.333	1137.333	79.638	13.591	1.109	0.902	0.993		2
7	4	0	148.121	50.844	0.72	21.083	1354	1437	7.381	10.418	1.949	0.513	0.949		2
7	4	10	160.937	51.88	0.751	21.225	1353	1436	5.565	10.743	1.873	0.534	0.976		2
7	4	50	169.88	53.253	0.753	21.91	1351	1434	2.834	11.205	1.879	0.532	0.982		2
7	4	100	180.83	55.495	0.738	22.745	1346	1437	5.466	11.395	1.84	0.543	0.96		2
7	4	200	181.992	54.557	0.768	22.415	1348	1435	7.778	11.594	1.794	0.557	0.975		2
8	2	0	128.827	45.22	0.792	17.304	738	853	65.2	9.473	1.854	0.539	0.964		2
8	2	10	153.344	48.611	0.815	18.33	741	863	57.061	10.448	1.675	0.597	0.972		2
8	2	50	163.167	50.298	0.81	19.575	733	866	51.291	10.79	1.674	0.597	0.985		2
8	2	100	164.705	49.689	0.838	18.558	742	864	62.537	11.006	1.652	0.605	0.981		2
8	2	200	182.837	51.641	0.862	19.352	744	868	57.111	11.928	1.556	0.643	0.989		2
2	1	0	102.867	41.437	0.753	14.75	1293	597.5	136.339	11.1	1.222	0.818	0.903		3
2	1	10	106.939	43.082	0.724	15.501	1290.5	600.5	138.4	12.046	1.246	0.802	0.882		3
2	1	50	110.695	41.861	0.794	15.261	1293	605.5	141.34	11.609	1.219	0.82	0.936		3
2	1	100	122.443	45.743	0.735	15.75	1297.5	597	136.812	11.115	1.165	0.858	0.897		3
2	1	200	132.09	44.473	0.839	15.361	1299	595.5	134	12.587	1.102	0.907	0.952		3
2	2	0	105.472	39.474	0.851	14.768	1134.333	1166.667	39.841	9.823	1.373	0.728	0.957		3
2	2	10	109.24	39.304	0.889	14.274	1136.667	1165.333	39.045	10.234	1.304	0.767	0.975		3
2	2	50	113.03	39.851	0.894	14.54	1134.667	1163	37.838	10.053	1.334	0.75	0.977		3
2	2	100	121.75	40.908	0.914	14.965	1131.667	1165	37.451	10.955	1.263	0.792	0.99		3
2	2	200	131.973	42.594	0.914	15.131	1133.667	1168.333	37.143	11.355	1.221	0.819	0.985		3
2	3	0	103.606	40.569	0.791	13.279	809.667	1371	76.795	11.524	1.01	0.99	0.936		3
2	3	10	107.702	40.921	0.808	14.034	824.667	1252.333	127.578	11.672	1.112	0.9	0.979		3
2	3	50	119.333	40.568	0.911	13.772	821	1255	124.315	11.838	1.069	0.936	0.996		3
2	3	100	110.214	39.055	0.908	13.711	814.333	1374.333	78.453	11.342	1.162	0.861	1.001		3
2	3	200	126.903	41.888	0.909	14.154	821.667	1252.333	119.836	12.553	1.053	0.95	0.995		3
3	2	0	66.579	34.662	0.696	13.717	1065.333	961.667	70.468	7.654	1.911	0.523	0.886		3
3	2	10	78.691	35.273	0.795	13.82	1064.667	960	68.06	7.432	1.732	0.577	0.98		3
3	2	50	84.042	36.047	0.813	13.407	1066.333	959.667	71.955	8.76	1.439	0.695	0.945		3
3	2	100	88.514	36.532	0.833	13.685	1065.333	958.667	65.193	9.093	1.401	0.714	0.965		3
3	2	200	97.656	37.343	0.88	13.685	1065.333	958.667	65.193	9.088	1.352	0.739	1.001		3
3	3	0	96.846	37.439	0.868	13.918	1668.5	997.5	167.64	9.438	1.402	0.713	0.978		3
3	3	10	100.966	37.844	0.886	14.078	1666	996	154.717	9.33	1.442	0.693	0.981		3
3	3	50	115.037	39.345	0.934	14.268	1667	997	161.634	10.581	1.306	0.766	0.999		3
3	3	100	127.888	41.989	0.912	15.272	1661.5	1006.5	175.321	12.024	1.183	0.845	1.001		3
3	3	200	131.538	41.956	0.939	15.091	1661.5	1001	161.37	11.414	1.276	0.784	0.996		3
