7.7889	4.2659	82.6739	22.8975
7.8279	4.2813	83.9217	22.962
7.8736	4.2934	85.2075	22.9632
7.9244	4.3047	86.3592	22.9246
7.9784	4.3211	87.2941	22.8434
8.0332	4.3372	87.7957	22.6979
8.092	4.3505	87.9006	22.5012
8.1591	4.3634	87.4706	22.2777
8.2319	4.3743	86.7584	22.0227
8.3047	4.3817	85.9137	21.6972
8.3763	4.3841	85.075	21.3765
8.4465	4.3821	84.3029	21.1214
8.5245	4.3783	83.7867	20.9096
8.6154	4.3771	83.58	20.7441
8.7219	4.3799	83.8002	20.6446
8.8384	4.38	84.4257	20.6081
8.9741	4.3736	85.6547	20.6256
9.1336	4.3665	87.4408	20.6986
9.3203	4.3643	89.8545	20.8397
9.54	4.3661	93.0977	21.0339
9.799	4.3695	97.2436	21.2446
10.1094	4.3829	102.6097	21.4809
10.4639	4.4082	109.1396	21.7352
10.8685	4.4492	116.7282	22.0536
11.3259	4.506	125.4045	22.4456
11.8384	4.5888	135.2386	22.955
12.4066	4.7064	146.1454	23.6307
13.0253	4.8644	158.1158	24.5492
13.698	5.0763	170.9761	25.8107
14.4181	5.3541	184.347	27.5272
15.1798	5.7128	197.878	29.8848
15.974	6.1612	211.5361	32.9999
16.7913	6.7195	224.9081	37.099
17.6292	7.4031	237.9229	42.4249
18.4697	8.2297	250.3167	49.2422
19.3076	9.2208	262.1251	57.6599
20.1182	10.4023	272.78	68.0196
20.8928	11.7925	282.1866	80.5081
21.618	13.4126	290.23	95.5601
22.2827	15.2808	297.4177	113.4615
22.869	17.4303	303.607	134.3779
23.3563	19.8837	308.4307	158.769
23.7525	22.646	312.2216	186.919
24.0437	25.7254	314.5542	219.8146
24.2262	29.0959	316.6772	257.7831
24.2777	32.7729	317.7681	302.2054
24.2122	36.6946	318.1927	353.8435
24.0204	40.8483	317.0213	414.3811
23.7103	45.1599	314.4873	484.5349
23.2903	49.5473	310.3625	564.7755
22.7736	53.9147	304.4709	654.7032
22.1678	58.1658	296.4831	753.3855
21.4776	62.1517	285.7359	856.0279
20.7287	65.8208	273.2066	960.6895
19.9249	68.9691	258.4204	1058.3642
19.084	71.5563	242.5034	1145.4888
18.2221	73.4871	225.7614	1215.4418
17.3602	74.6274	208.8578	1257.0714
16.5027	75.0783	192.3363	1277.0968
15.6629	74.566	176.1632	1261.7867
14.8444	73.3689	161.0416	1224.8342
14.0561	71.4064	147.1459	1160.7368
13.3045	68.8019	134.4545	1078.3519
12.5917	65.6524	122.8952	985.1594
11.9196	62.0008	112.4434	883.9938
11.2836	58.0419	103.1697	783.7402
10.6962	53.8367	94.9397	686.0709
10.1536	49.5241	87.553	595.0358
9.6523	45.1876	81.027	512.1782
9.19	40.9054	75.3883	438.5213
8.7609	36.7566	70.4588	374.2329
8.3625	32.8258	66.0881	318.4284
7.9962	29.1298	62.2503	270.0761
7.6629	25.7175	58.8792	229.0294
7.3492	22.5793	55.8285	193.9484
7.0513	19.7392	53.0725	164.425
6.7746	17.1935	50.6504	139.3066
6.516	14.9297	48.4264	118.3152
6.2679	12.9422	46.2848	100.6912
6.0249	11.199	44.1336	85.8289
5.7898	9.6861	41.9993	73.3993
5.5669	8.3766	39.9386	63.1244
5.3534	7.245	37.9431	54.5803
5.1468	6.2815	36.0158	47.3586
4.949	5.46	34.1562	41.2481
4.7615	4.766	32.3255	36.073
4.579	4.1826	30.5221	31.7852
4.4018	3.6901	28.7738	28.1165
4.2382	3.2814	27.1543	25.011
4.0857	2.9381	25.6453	22.3729
3.9415	2.6486	24.2076	20.1072
3.8048	2.4036	22.8583	18.1584
3.6757	2.2007	21.6115	16.4066
3.5548	2.0322	20.4976	14.8047
3.4455	1.8837	19.5259	13.2858
3.3481	1.7529	18.667	11.8655
3.2582	1.6374	17.8919	10.5704
3.1737	1.5397	17.1645	9.441
3.0964	1.4548	16.4822	8.4292
3.0262	1.3786	15.8726	7.4908
2.9609	1.3075	15.3331	6.6106
2.8988	1.2429	14.8116	5.8285
2.8395	1.1867	14.3101	5.1617
2.7816	1.136	13.8602	4.575
2.7272	1.0883	13.4798	4.0633
2.6775	1.0432	13.1438	3.656
2.631	1.0021	12.8451	3.3318
2.5848	0.9646	12.5727	3.0605
2.5388	0.9279	12.3089	2.8401
2.4945	0.8943	12.0535	2.6591
2.4495	0.8661	11.7535	2.5046
2.4022	0.8411	11.4334	2.3762
2.353	0.8178	11.0776	2.2766
2.2989	0.7959	10.6623	2.1938
2.2431	0.7766	10.2288	2.1272
2.1918	0.7594	9.8113	2.0785
2.146	0.7457	9.4207	2.0449
2.0991	0.7345	9.0357	2.0135
2.0508	0.722	8.6401	1.9693
2.0037	0.7077	8.2717	1.9235
1.9562	0.6945	7.926	1.8866
1.9083	0.6806	7.5992	1.8405
1.8613	0.665	7.2872	1.7818
1.8144	0.649	6.9664	1.7222
1.7713	0.6329	6.6806	1.6589
1.7308	0.6171	6.4049	1.586
1.6908	0.6022	6.1373	1.5106
1.6508	0.5864	5.877	1.4333
1.6123	0.5702	5.6324	1.3506
1.5747	0.5545	5.3917	1.2724
1.5364	0.5389	5.1605	1.1971
1.4988	0.5236	4.9461	1.1218
1.4615	0.5103	4.7396	1.0554
1.4254	0.498	4.5504	1.0047
1.3912	0.4845	4.3838	0.9658
1.3616	0.4699	4.2521	0.9336
1.3363	0.4561	4.1653	0.9101
1.3106	0.4445	4.0846	0.8933
1.2856	0.4356	3.9955	0.8879
1.2618	0.4277	3.9116	0.8945
1.2384	0.418	3.8222	0.8964
1.2156	0.4092	3.7384	0.9033
1.1946	0.4031	3.6547	0.9217
1.1734	0.3973	3.5838	0.9466
1.1481	0.3911	3.5162	0.972
1.1199	0.3855	3.4318	0.9911
1.0931	0.3812	3.3348	1.016
1.0646	0.3782	3.2116	1.0481
1.0348	0.3738	3.0683	1.0781
1.0061	0.3677	2.9151	1.1061
0.9782	0.3621	2.7566	1.1377
0.9505	0.3566	2.5941	1.1654
0.9224	0.3538	2.4341	1.2002
0.8948	0.3541	2.2974	1.245
0.8698	0.3535	2.178	1.2818
0.8496	0.351	2.0752	1.3076
0.8335	0.3493	1.9965	1.3471
0.8186	0.3486	1.9302	1.4023
0.803	0.3464	1.8616	1.4809
0.7869	0.3436	1.798	1.5822
0.7721	0.3415	1.7395	1.7054
0.7576	0.3398	1.6931	1.8554
0.7417	0.3378	1.6536	2.0269
0.7245	0.3367	1.6193	2.2193
0.7066	0.3358	1.5842	2.4373
0.6886	0.3342	1.5442	2.662
0.671	0.3334	1.5045	2.8824
0.6518	0.3318	1.464	3.0984
0.6331	0.3299	1.4352	3.3103
0.6156	0.329	1.4094	3.5189
0.598	0.3282	1.3801	3.6951
0.5816	0.3266	1.3475	3.8474
0.5667	0.3229	1.3132	3.9508
0.5514	0.3186	1.2683	4.0385
0.534	0.3141	1.1994	4.1002
0.517	0.3089	1.1237	4.1027
0.5008	0.3032	1.0519	4.0759
0.4836	0.2972	0.9827	4.0364
0.4669	0.2905	0.9155	3.9989
0.4507	0.2829	0.8462	3.9403
0.4341	0.2756	0.7749	3.865
0.4171	0.2685	0.7108	3.7848
0.4006	0.262	0.6607	3.7239
0.3841	0.2551	0.6181	3.6684
0.368	0.2476	0.5804	3.6071
0.3533	0.2404	0.5433	3.5295
0.3389	0.2329	0.5069	3.4318
0.3251	0.2231	0.478	3.3097
0.3119	0.2119	0.4571	3.1745
0.3	0.2012	0.4384	3.0397
0.2869	0.1913	0.4174	2.9002
0.2731	0.1808	0.3967	2.7403
0.2615	0.1695	0.3822	2.5714
0.2528	0.1583	0.3711	2.3792
0.2467	0.1478	0.36	2.1863
0.2409	0.1367	0.3508	1.9839
0.2353	0.126	0.345	1.7777
0.2299	0.1156	0.3423	1.5592
0.225	0.1052	0.3395	1.3327
0.2197	0.09575	0.3356	1.1307
0.2145	0.087	0.3322	0.9488
0.2089	0.0781	0.3312	0.7756
0.2027	0.06925	0.325	0.6132
0.1962	0.06059	0.3172	0.4725
0.1892	0.05274	0.307	0.3599
0.182	0.04621	0.2935	0.2703
0.1736	0.04078	0.2769	0.1984
0.1635	0.036	0.2543	0.1439
0.1541	0.0312	0.236	0.1006
